time,attention
0.0,0.008787393
10.0,0.0113681145
20.0,0.015385596
30.0,0.019085493
40.0,0.02061431
50.0,0.02035735
60.0,0.021158913
70.0,0.021101728
80.0,0.02046196
90.0,0.021587243
100.0,0.023859967
110.0,0.021906266
120.0,0.023007365
130.0,0.02172787
140.0,0.021804651
150.0,0.022272622
160.0,0.023174934
170.0,0.023904582
180.0,0.022164738
190.0,0.022440264
200.0,0.022745112
210.0,0.023362331
220.0,0.023137316
230.0,0.024454076
240.0,0.024879012
250.0,0.025144834
260.0,0.025931388
270.0,0.02659887
280.0,0.026221035
290.0,0.027214307
300.0,0.029465495
310.0,0.027961351
320.0,0.026772205
330.0,0.027058316
340.0,0.025674624
350.0,0.027948638
360.0,0.027160969
370.0,0.031464953
380.0,0.03050011
390.0,0.02892302
400.0,0.04698714
410.0,0.0006613086
420.0,0.0006470323
430.0,0.00064383796
440.0,0.0006403369
450.0,0.00063812063
460.0,0.0006541073
470.0,0.00065420155
480.0,0.00065334793
490.0,0.00064598996
500.0,0.0006524952
510.0,0.0006481263
520.0,0.00063439563
530.0,0.00063907006
540.0,0.00064415915
550.0,0.0006432347
560.0,0.000641575
570.0,0.00064332085
580.0,0.00064696313
590.0,0.0006467741
600.0,0.0006496477
610.0,0.00065209426
620.0,0.0006434322
