sensor,importance,direction
PSGA,0.056740936,下降
PSGB,0.04632546,下降
WCHG,0.022767924,上升
DTHY,0.015578462,上升
WFLB,0.014884839,波动增强
DWB,0.0148310615,上升
TCA,0.014130208,下降
RM4,0.013962316,上升
RM2,0.01383938,波动增强
WTRB,0.013375346,波动增强
HLW,0.013111776,下降
TCB,0.012573065,下降
RRCA,0.01247046,波动增强
STRB,0.011908333,波动增强
WTRA,0.011614791,波动增强
RRCO,0.010951416,波动增强
WRCA,0.010791415,波动增强
RM3,0.010620767,波动增强
RRCB,0.010606524,波动增强
RBLK,0.010005034,上升
