sensor,importance,direction
PSGB,0.0057829074,下降
PSGA,0.0055592116,下降
TRB,0.004123894,上升
WCHG,0.0031903111,下降
PRBA,0.0029219862,上升
WTRB,0.0028063809,波动增强
PRB,0.0027894976,上升
WTRA,0.0027350753,波动增强
WFLB,0.0027304098,上升
WSPY,0.0023563618,波动增强
LWRB,0.0021947988,上升
WBK,0.0020261866,上升
RBLK,0.0019842458,上升
RM2,0.001909946,波动增强
HTR,0.0018264984,波动增强
DWB,0.0017780587,波动增强
STTB,0.0016782358,波动增强
DTHY,0.0015336515,波动增强
STRB,0.0015258752,上升
RM3,0.001455621,波动增强
