time,attention
0.0,0.016810436
10.0,0.016359715
20.0,0.016261935
30.0,0.015826985
40.0,0.0156818
50.0,0.01568218
60.0,0.015684396
70.0,0.01568647
80.0,0.015730135
90.0,0.015844744
100.0,0.015994506
110.0,0.016160704
120.0,0.016219635
130.0,0.016176114
140.0,0.016131472
150.0,0.016093614
160.0,0.016065612
170.0,0.016025912
180.0,0.015798602
190.0,0.015848259
200.0,0.015960142
210.0,0.015438174
220.0,0.015756369
230.0,0.0155978585
240.0,0.015773287
250.0,0.015693912
260.0,0.015217472
270.0,0.015298412
280.0,0.01568895
290.0,0.015634403
300.0,0.015520494
310.0,0.015377199
320.0,0.0153724635
330.0,0.015372379
340.0,0.015369915
350.0,0.015366198
360.0,0.01536697
370.0,0.015371612
380.0,0.015378477
390.0,0.015385085
400.0,0.015391485
410.0,0.015397441
420.0,0.015403153
430.0,0.015408224
440.0,0.015411584
450.0,0.015411246
460.0,0.015410566
470.0,0.015414006
480.0,0.015412457
490.0,0.015407227
500.0,0.015398934
510.0,0.015390688
520.0,0.01538245
530.0,0.015374277
540.0,0.015366232
550.0,0.015358378
560.0,0.015350126
570.0,0.01534156
580.0,0.015332749
590.0,0.015330008
600.0,0.015316026
610.0,0.015395674
620.0,0.01564208
630.0,0.01593042
