sensor,importance,direction
WCFT,0.0039425045,波动增强
WLPI,0.003866572,波动增强
SCMB,0.0032743146,上升
TDBR,0.0032138359,波动增强
VOID,0.0032036954,下降
TCRT,0.0030011435,波动增强
VOL,0.0028536269,下降
TSAT,0.0025725956,上升
WSPY,0.0025624933,波动增强
PWR,0.002430317,上升
QMGB,0.0023463864,波动增强
WRLB,0.0023162125,波动增强
TFPK,0.0022974992,上升
HUP,0.0021797214,下降
STSG,0.0021743202,波动增强
WECS,0.0021661494,上升
WRCB,0.0021421555,波动增强
QMWT,0.0020828727,上升
TRB,0.0020461895,上升
MCRT,0.0019865765,波动增强
