sensor,importance,direction
PSGA,0.012509004,下降
PSGB,0.010968587,下降
WTRA,0.008791885,波动增强
TCA,0.008039634,下降
TCB,0.0051919627,下降
RM2,0.0047424026,波动增强
PRBA,0.004594878,上升
RM3,0.0039789146,波动增强
WFLB,0.0037600817,上升
LVPZ,0.0033280875,上升
WHPI,0.003252856,波动增强
DTHY,0.0032341485,波动增强
DWB,0.0031303887,波动增强
DNBR,0.003049983,下降
QMWT,0.0030192977,上升
LWRB,0.0029669304,上升
RC87,0.002911201,波动增强
PWNT,0.0026107808,上升
WCHG,0.0025992282,下降
WECS,0.0024795455,下降
