epoch,train_loss,loss,accuracy,macro_f1,severity_mae,top2_accuracy,average_confidence
1,1.2136664112408957,1.218351708991187,0.7647058823529411,0.7469264141019495,11.992792437114327,0.9140271493212669,0.7900995095660783
2,0.944711712996165,0.8140319181340081,0.7918552036199095,0.7721147311598576,8.152712393130653,0.9683257918552036,0.8046745215605826
3,0.7758628870050113,0.9380093067884445,0.7918552036199095,0.7515319298584714,8.314781469457289,0.9547511312217195,0.8434541040685921
4,0.7733775446812312,0.8610602191516331,0.7963800904977375,0.7880099330832216,7.55605042142566,0.9638009049773756,0.8318746135785029
5,0.687505788107713,0.7542291070733752,0.8190045248868778,0.767273931039321,8.413724514154287,0.9728506787330317,0.8700824246417344
6,0.6738478094339371,0.8899965259645667,0.7918552036199095,0.7780828117011427,8.019543851662545,0.9592760180995475,0.837432412135655
7,0.6375653530160587,0.6772054135799408,0.8054298642533937,0.8143152179258091,6.5362571677471175,0.9728506787330317,0.8221190137561091
8,0.6234510143597921,0.7921997425811631,0.8009049773755657,0.7857610449242989,7.026686040524444,0.9683257918552036,0.8307340915116789
9,0.629617378115654,0.6973560920783451,0.8144796380090498,0.7640164247517189,6.863140077612519,0.9819004524886877,0.8644287065682907
10,0.5935788293679555,0.6910743245056697,0.8190045248868778,0.7983932575962936,6.626967403144318,0.9819004524886877,0.8446802472636711
11,0.604665893316269,0.6920193987233298,0.8009049773755657,0.8187210998794852,6.823990747399999,0.9638009049773756,0.836352848763919
12,0.5781911611557007,0.6784595197864941,0.8054298642533937,0.8241738124894558,6.695770486447606,0.9773755656108597,0.835829811263408
