feature,importance
STRB__max,0.0019652878792741145
TF__max,0.0019305458210275772
RH__last,0.0019276233872753024
LSGA__last,0.0019120701253857234
LWRB__delta,0.0019048296803902032
VOL__mean,0.0018908880140430775
QMGB__delta,0.001850100968588099
NSGB__min,0.0018395925633117116
RHMT__mean,0.0018360924680478426
NSGA__min,0.0018240749618761221
THA__mean,0.001811987048922415
SCMA__max,0.001803325463885996
RHMT__std,0.0017829162619580764
PRBA__std,0.0017708754441378939
WCHG__min,0.0017568302626836607
HLW__last,0.001732183880231188
TCA__std,0.001696897786814698
QMGB__mean,0.0016866151088939267
LVPZ__delta,0.0016592446758221763
TKLV__min,0.0016557689145682097
PWNT__min,0.0016445001598806189
HTR__max,0.0016375123954996173
TAVG__mean,0.00162012864745432
LSGA__delta,0.0016146544873511797
PPM__delta,0.0016107996125189915
PSGB__delta,0.0016053532749918215
RBLK__delta,0.0016037225074094943
RHFL__std,0.0015956240787948716
RHBR__mean,0.0015912839607589006
LSGB__delta,0.001579242836579769
PRB__mean,0.0015561922332053733
RHBR__last,0.0015168403465955866
TPCT__std,0.0015092420496527076
WLD__max,0.0014921686162964497
TAVG__delta,0.0014839110806029573
TCA__last,0.0014828129004115734
PSGB__last,0.001481551746969212
WHPI__std,0.001459737434791557
QMWT__mean,0.0014580440517623313
WECS__mean,0.0014482037043230427
TRB__mean,0.001441757240861064
WSTA__min,0.0014385482031294315
TCB__delta,0.001436815316377802
TCA__min,0.001423074900788252
HUP__min,0.0014112917549336185
WSTA__mean,0.0013778618852605241
LVPZ__max,0.0013740127439442896
SCMA__min,0.0013707619528598228
TCB__last,0.0013614594288253012
PWNT__delta,0.0013417038298104912
WLR__max,0.0013349630939895815
THB__mean,0.0013294567529058914
WFWB__min,0.0013059287012347433
VOL__last,0.001296714424701621
WSTB__last,0.001286537518652005
SCMB__last,0.00128611592555481
RC87__last,0.0012748804703395747
NSGA__max,0.00126772371845161
PRBA__delta,0.0012622291982352317
TF__mean,0.0012357539643463521
PRB__max,0.0012261686988009088
PWR__std,0.0012115952098751014
WECS__last,0.0012026197582218606
WFWB__last,0.0011903990319713149
HUP__mean,0.0011901873861839556
RH__max,0.0011704957936222828
TCB__std,0.0011524123835700882
PPM__mean,0.0011519049992115167
