condition,early_ratio,noise,mask_rate,time_mask,accuracy,macro_f1,severity_mae,severity_rmse,top2_accuracy,average_confidence,ece_simple,robustness_score
clean,1.0,0.0,0.0,0.0,0.8615384615384616,0.8469142512077296,6.819646127407367,10.912619504608674,0.9897435897435898,0.8650599641677661,0.003521502629304507,1.0
noise_0.01,1.0,0.01,0.0,0.0,0.8615384615384616,0.8491446399717874,6.9124501423958025,11.078175888730673,0.9897435897435898,0.8649730630410023,0.003434601502540713,1.0
noise_0.05,1.0,0.05,0.0,0.0,0.7589743589743589,0.7167184283898044,11.317079711571719,21.846660161686085,0.8461538461538461,0.8689116595647274,0.10993730059036844,0.8809523809523808
sensor_missing_5%,1.0,0.0,0.05,0.0,0.8512820512820513,0.8347363593974659,7.943992865391267,12.454283903710197,0.9897435897435898,0.8647565315931272,0.013474480311075898,0.988095238095238
sensor_missing_10%,1.0,0.0,0.1,0.0,0.8512820512820513,0.8384712550801403,9.194641634134145,13.456937680313949,0.958974358974359,0.8661136408646901,0.01483158958263886,0.988095238095238
time_mask_10%,1.0,0.0,0.0,0.1,0.8666666666666667,0.8467286957349068,7.583891983521291,12.204719975184194,0.9897435897435898,0.8689301238610194,0.002263457194352725,1.005952380952381
