model,accuracy,macro_f1,severity_mae,top2_accuracy,ece_simple
Baseline RandomForest,0.9900990099009901,0.9900588440504405,2.642195230054084,,
NucleoGuard-MTSFormer,0.8615384615384616,0.8430408727260302,6.854751420632387,0.9897435897435898,0.0011133282612530992
