,FLB,LLB,LOCA,LOCAC,LR,MD,RI,RW,SGATR,SGBTR,SLBIC,SLBOC
FLB,12,0,0,0,0,0,0,0,0,0,0,0
LLB,0,33,0,0,0,3,0,0,0,0,0,0
LOCA,0,0,11,8,0,0,0,0,0,0,0,0
LOCAC,0,0,8,16,0,0,0,0,0,0,0,0
LR,0,0,0,0,36,0,0,0,0,0,0,0
MD,0,0,0,0,0,24,0,0,0,0,0,12
RI,0,0,0,0,0,0,12,0,0,0,0,0
RW,0,0,0,0,0,0,0,12,0,0,0,0
SGATR,0,0,0,0,0,0,0,0,28,0,0,0
SGBTR,0,0,0,0,0,0,0,0,0,27,0,0
SLBIC,0,0,0,1,0,0,0,0,0,0,27,0
SLBOC,0,0,0,0,0,12,0,0,0,0,0,12
